State, Regular  , Mid-Grade  , Premium  , Diesel  
Alabama, $3.08 , $3.46 , $3.84 , $3.60 
Alaska, $4.31 , $4.46 , $4.67 , $4.18 
Arizona, $3.79 , $4.08 , $4.36 , $3.99 
Arkansas, $3.09 , $3.47 , $3.83 , $3.60 
California, $4.87 , $5.08 , $5.24 , $5.06 
Colorado, $3.78 , $4.14 , $4.44 , $3.90 
Connecticut, $3.62 , $4.09 , $4.48 , $4.07 
Delaware, $3.47 , $3.94 , $4.21 , $3.71 
District of Columbia, $3.69 , $4.20 , $4.59 , $4.14 
Florida, $3.46 , $3.83 , $4.15 , $3.64 
Georgia, $3.26 , $3.66 , $4.03 , $3.68 
Hawaii, $4.69 , $4.93 , $5.16 , $5.69 
Idaho, $3.94 , $4.13 , $4.38 , $3.94 
Illinois, $3.84 , $4.36 , $4.77 , $3.86 
Indiana, $3.30 , $3.80 , $4.24 , $3.89 
Iowa, $3.30 , $3.61 , $4.06 , $3.60 
Kansas, $3.25 , $3.55 , $3.86 , $3.56 
Kentucky, $3.21 , $3.68 , $4.09 , $3.67 
Louisiana, $3.07 , $3.44 , $3.80 , $3.47 
Maine, $3.62 , $4.03 , $4.44 , $4.14 
Maryland, $3.57 , $4.08 , $4.35 , $3.79 
Massachusetts, $3.56 , $4.06 , $4.42 , $4.17 
Michigan, $3.46 , $3.93 , $4.41 , $3.84 
Minnesota, $3.42 , $3.73 , $4.12 , $3.72 
Mississippi, $2.96 , $3.33 , $3.70 , $3.47 
Missouri, $3.24 , $3.58 , $3.89 , $3.47 
Montana, $3.72 , $4.02 , $4.32 , $4.05 
Nebraska, $3.29 , $3.52 , $3.98 , $3.54 
Nevada, $4.23 , $4.48 , $4.72 , $4.17 
New Hampshire, $3.49 , $3.92 , $4.32 , $4.08 
New Jersey, $3.52 , $4.02 , $4.29 , $3.68 
New Mexico, $3.50 , $3.84 , $4.15 , $3.83 
New York, $3.68 , $4.12 , $4.48 , $4.37 
North Carolina, $3.26 , $3.64 , $4.00 , $3.69 
North Dakota, $3.46 , $3.75 , $4.10 , $3.78 
Ohio, $3.20 , $3.65 , $4.10 , $3.73 
Oklahoma, $3.16 , $3.48 , $3.74 , $3.45 
Oregon, $4.62 , $4.82 , $5.04 , $4.41 
Pennsylvania, $3.64 , $4.02 , $4.32 , $4.26 
Rhode Island, $3.51 , $4.11 , $4.44 , $4.18 
South Carolina, $3.17 , $3.57 , $3.93 , $3.59 
South Dakota, $3.48 , $3.68 , $4.16 , $3.70 
Tennessee, $3.11 , $3.50 , $3.86 , $3.58 
Texas, $3.16 , $3.54 , $3.87 , $3.35 
Utah, $3.86 , $4.09 , $4.31 , $3.70 
Vermont, $3.60 , $4.00 , $4.43 , $3.91 
Virginia, $3.35 , $3.77 , $4.11 , $3.71 
Washington, $4.96 , $5.17 , $5.38 , $4.94 
West Virginia, $3.36 , $3.68 , $4.01 , $3.76 
Wisconsin, $3.35 , $3.80 , $4.22 , $3.57 
Wyoming, $3.59 , $3.84 , $4.13 , $4.10 
