State,# of EV registrations (2019),# of EV registrations (2020),Percent of total EVs (2020),# of EV registrations (2021),Percent of total EVs (2021),YOY Growth
Alabama,722,2890,0.003,4750,0.33%,64.40%
Alaska,87,940,0.001,1290,0.09%,37.23%
Arizona,6637,28770,0.028,40740,2.80%,41.61%
Arkansas,370,1330,0.001,2390,0.16%,79.70%
California,100549,425300,0.42,563070,38.71%,32.40%
Colorado,7124,24670,0.024,37000,2.54%,50.00%
Connecticut,2383,9040,0.009,13350,0.92%,47.70%
Delaware,579,1950,0.002,3010,0.21%,54.40%
District of Columbia,726,2360,0.002,3700,0.25%,56.80%
Florida,13137,58160,0.057,95640,6.58%,64.44%
Georgia,4227,23530,0.023,34020,2.34%,44.58%
Hawaii,2488,10670,0.011,14220,0.98%,33.30%
Idaho,383,2300,0.002,3500,0.24%,52.20%
Illinois,6321,26000,0.026,36520,2.51%,40.50%
Indiana,1751,6990,0.007,10360,0.71%,48.21%
Iowa,502,2260,0.002,3660,0.25%,62.00%
Kansas,657,3130,0.003,4500,0.31%,43.77%
Kentucky,580,2650,0.003,4220,0.29%,59.30%
Louisiana,527,1950,0.002,3180,0.22%,63.10%
Maine,518,1920,0.002,3040,0.21%,58.33%
Maryland,5169,17970,0.018,25630,1.76%,42.63%
Massachusetts,5646,21010,0.021,30470,2.09%,45.03%
Michigan,808,10620,0.01,17460,1.20%,64.41%
Minnesota,2823,10380,0.01,15000,1.03%,44.51%
Mississippi,167,780,0.001,1310,0.09%,68.00%
Missouri,1597,6740,0.007,10050,0.69%,49.11%
Montana,230,940,0.001,1650,0.11%,75.53%
Nebraska,372,1810,0.002,2710,0.19%,49.72%
Nevada,2816,11040,0.011,17380,1.19%,57.43%
New Hampshire,690,2690,0.003,4000,0.28%,48.70%
New Jersey,7276,30420,0.03,47830,3.29%,57.23%
New Mexico,539,2620,0.003,4150,0.29%,58.40%
New York,8830,32590,0.032,51870,3.57%,59.16%
North Carolina,4483,16190,0.016,25190,1.73%,55.60%
North Dakota,92,220,0,380,0.03%,72.73%
Ohio,4744,14530,0.014,21200,1.46%,45.91%
Oklahoma,551,3410,0.003,7180,0.49%,111.00%
Oregon,5366,22850,0.022,30290,2.08%,32.60%
Pennsylvania,4339,17530,0.017,26770,1.84%,52.71%
Rhode Island,405,1580,0.002,2550,0.18%,61.39%
South Carolina,956,4390,0.004,7440,0.51%,69.50%
South Dakota,109,410,0,680,0.05%,66.00%
Tennessee,1773,7810,0.008,12160,0.84%,55.70%
Texas,3460,52190,0.051,80900,5.56%,55.01%
Utah,2327,11230,0.011,16480,1.13%,46.75%
Vermont,662,2230,0.002,3370,0.23%,51.12%
Virginia,5677,20510,0.02,30660,2.11%,49.50%
Washington,10256,50520,0.05,66810,4.59%,32.30%
West Virginia,179,600,0.001,1010,0.07%,68.33%
Wisconsin,1381,6310,0.006,9330,0.64%,47.90%
Wyoming,100,330,0,510,0.04%,54.60%
,234091,,,,,
